,Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,OBJECTID,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site
0,Oxycodone,4.26,101.37,(1) Mon,0.06,1.51,(05) May,1,0,24.77,2018-05-14 03:00:00,TP02
1,Oxycodone,2.33,106.94,(2) Tue,0.04,1.68,(05) May,2,0,27.54,2018-05-15 03:00:00,TP02
2,Oxycodone,1.81,102.03,(3) Wed,0.03,1.6,(05) May,3,0,26.22,2018-05-16 03:00:00,TP02
3,Oxycodone,5.34,115.53,(4) Thu,0.08,1.78,(05) May,4,0,29.27,2018-05-17 03:00:00,TP02
4,Oxycodone,4.22,103.88,(5) Fri,0.06,1.54,(05) May,5,0,25.28,2018-05-18 03:00:00,TP02
5,Oxycodone,1.83,95.74,(6) Sat,0.03,1.41,(05) May,6,0,23.13,2018-05-19 03:00:00,TP02
6,Oxycodone,11.37,96.82,(7) Sun,0.17,1.43,(05) May,7,0,23.52,2018-05-20 03:00:00,TP02
7,Noroxycodone,0.82,123.22,(1) Mon,0.01,1.83,(05) May,8,0,30.11,2018-05-14 03:00:00,TP02
8,Noroxycodone,2.63,108.03,(2) Tue,0.04,1.69,(05) May,9,0,27.82,2018-05-15 03:00:00,TP02
9,Noroxycodone,4.34,116.1,(3) Wed,0.07,1.82,(05) May,10,0,29.83,2018-05-16 03:00:00,TP02
10,Noroxycodone,6.93,126.1,(4) Thu,0.11,1.95,(05) May,11,0,31.95,2018-05-17 03:00:00,TP02
11,Noroxycodone,2.26,118.43,(5) Fri,0.03,1.76,(05) May,12,0,28.82,2018-05-18 03:00:00,TP02
12,Noroxycodone,2.12,114.72,(6) Sat,0.03,1.69,(05) May,13,0,27.72,2018-05-19 03:00:00,TP02
13,Noroxycodone,11.31,114.82,(7) Sun,0.17,1.7,(05) May,14,0,27.89,2018-05-20 03:00:00,TP02
14,Codeine,3.73,89.37,(1) Mon,0.06,1.33,(05) May,15,0,21.84,2018-05-14 03:00:00,TP02
15,Codeine,1.03,114.21,(2) Tue,0.02,1.79,(05) May,16,0,29.41,2018-05-15 03:00:00,TP02
16,Codeine,2.13,98.79,(3) Wed,0.03,1.55,(05) May,17,0,25.38,2018-05-16 03:00:00,TP02
17,Codeine,7.26,113.84,(4) Thu,0.11,1.76,(05) May,18,0,28.85,2018-05-17 03:00:00,TP02
18,Codeine,6.36,178.28,(5) Fri,0.09,2.64,(05) May,19,0,43.39,2018-05-18 03:00:00,TP02
19,Codeine,0.2,93.95,(6) Sat,0.0,1.38,(05) May,20,0,22.7,2018-05-19 03:00:00,TP02
20,Codeine,8.95,113.48,(7) Sun,0.13,1.68,(05) May,21,0,27.56,2018-05-20 03:00:00,TP02
21,Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,22,-10000,-9999.99,2018-05-14 03:00:00,TP02
22,Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(05) May,23,-10000,-9999.99,2018-05-15 03:00:00,TP02
23,Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,24,-10000,-9999.99,2018-05-16 03:00:00,TP02
24,Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,25,-10000,-9999.99,2018-05-17 03:00:00,TP02
25,Fentanyl,0.3,0.78,(5) Fri,0.0,0.01,(05) May,26,0,0.19,2018-05-18 03:00:00,TP02
26,Fentanyl,0.11,2.1,(6) Sat,0.0,0.03,(05) May,27,0,0.51,2018-05-19 03:00:00,TP02
27,Fentanyl,0.12,2.54,(7) Sun,0.0,0.04,(05) May,28,0,0.62,2018-05-20 03:00:00,TP02
28,Norfentanyl,0.26,12.99,(1) Mon,0.0,0.19,(05) May,29,0,3.17,2018-05-14 03:00:00,TP02
29,Norfentanyl,0.65,23.35,(2) Tue,0.01,0.37,(05) May,30,0,6.01,2018-05-15 03:00:00,TP02
30,Norfentanyl,2.39,20.55,(3) Wed,0.04,0.32,(05) May,31,0,5.28,2018-05-16 03:00:00,TP02
31,Norfentanyl,1.26,13.94,(4) Thu,0.02,0.22,(05) May,32,0,3.53,2018-05-17 03:00:00,TP02
32,Norfentanyl,1.15,14.63,(5) Fri,0.02,0.22,(05) May,33,0,3.56,2018-05-18 03:00:00,TP02
33,Norfentanyl,1.43,16.3,(6) Sat,0.02,0.24,(05) May,34,0,3.94,2018-05-19 03:00:00,TP02
34,Norfentanyl,0.66,11.08,(7) Sun,0.01,0.16,(05) May,35,0,2.69,2018-05-20 03:00:00,TP02
35,Heroin,0.46,35.14,(1) Mon,0.01,0.52,(05) May,36,0,8.59,2018-05-14 03:00:00,TP02
36,Heroin,1.44,47.34,(2) Tue,0.02,0.74,(05) May,37,0,12.19,2018-05-15 03:00:00,TP02
37,Heroin,0.41,26.06,(3) Wed,0.01,0.41,(05) May,38,0,6.7,2018-05-16 03:00:00,TP02
38,Heroin,2.42,26.43,(4) Thu,0.04,0.41,(05) May,39,0,6.7,2018-05-17 03:00:00,TP02
39,Heroin,2.07,26.1,(5) Fri,0.03,0.39,(05) May,40,0,6.35,2018-05-18 03:00:00,TP02
40,Heroin,1.02,26.66,(6) Sat,0.01,0.39,(05) May,41,0,6.44,2018-05-19 03:00:00,TP02
41,Heroin,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,42,-10000,-9999.99,2018-05-20 03:00:00,TP02
42,6-Acetylmorphine,4.89,88.8,(1) Mon,0.07,1.32,(05) May,43,0,21.7,2018-05-14 03:00:00,TP02
43,6-Acetylmorphine,2.28,127.11,(2) Tue,0.04,1.99,(05) May,44,0,32.74,2018-05-15 03:00:00,TP02
44,6-Acetylmorphine,5.71,91.11,(3) Wed,0.09,1.43,(05) May,45,0,23.41,2018-05-16 03:00:00,TP02
45,6-Acetylmorphine,5.74,71.77,(4) Thu,0.09,1.11,(05) May,46,0,18.19,2018-05-17 03:00:00,TP02
46,6-Acetylmorphine,0.39,83.86,(5) Fri,0.01,1.24,(05) May,47,0,20.41,2018-05-18 03:00:00,TP02
47,6-Acetylmorphine,5.09,69.15,(6) Sat,0.07,1.02,(05) May,48,0,16.71,2018-05-19 03:00:00,TP02
48,6-Acetylmorphine,3.72,49.89,(7) Sun,0.06,0.74,(05) May,49,0,12.12,2018-05-20 03:00:00,TP02
49,Oxycodone,4.84,103.83,(1) Mon,0.08,1.67,(07) July,50,0,27.46,2018-07-23 03:00:00,TP02
50,Oxycodone,3.2,108.5,(2) Tue,0.05,1.74,(07) July,51,0,28.55,2018-07-24 03:00:00,TP02
51,Oxycodone,16.84,110.61,(3) Wed,0.28,1.82,(07) July,52,0,29.94,2018-07-25 03:00:00,TP02
52,Oxycodone,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,53,10000,9999.99,2018-07-26 03:00:00,TP02
53,Oxycodone,1.58,109.69,(5) Fri,0.03,1.73,(07) July,54,0,28.47,2018-07-27 03:00:00,TP02
54,Oxycodone,3.86,191.89,(6) Sat,0.06,3.14,(07) July,55,0,51.63,2018-07-28 03:00:00,TP02
55,Oxycodone,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,56,10000,9999.99,2018-07-29 03:00:00,TP02
56,Noroxycodone,13.92,106.35,(1) Mon,0.22,1.71,(07) July,57,0,28.13,2018-07-30 03:00:00,TP02
57,Noroxycodone,3.98,146.45,(2) Tue,0.06,2.35,(07) July,58,0,38.53,2018-07-23 03:00:00,TP02
58,Noroxycodone,5.36,103.53,(3) Wed,0.09,1.71,(07) July,59,0,28.03,2018-07-24 03:00:00,TP02
59,Noroxycodone,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,60,10000,9999.99,2018-07-25 03:00:00,TP02
60,Noroxycodone,2.31,141.31,(5) Fri,0.04,2.23,(07) July,61,0,36.67,2018-07-26 03:00:00,TP02
61,Noroxycodone,2.48,293.97,(6) Sat,0.04,4.82,(07) July,62,0,79.1,2018-07-27 03:00:00,TP02
62,Noroxycodone,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,63,10000,9999.99,2018-07-28 03:00:00,TP02
63,Codeine,4.3,110.64,(1) Mon,0.07,1.78,(07) July,64,0,29.26,2018-07-29 03:00:00,TP02
64,Codeine,13.66,155.07,(2) Tue,0.22,2.48,(07) July,65,0,40.8,2018-07-30 03:00:00,TP02
65,Codeine,15.41,117.24,(3) Wed,0.25,1.93,(07) July,66,0,31.74,2018-07-23 03:00:00,TP02
66,Codeine,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,67,10000,9999.99,2018-07-24 03:00:00,TP02
67,Codeine,12.18,120.49,(5) Fri,0.19,1.9,(07) July,68,0,31.27,2018-07-25 03:00:00,TP02
68,Codeine,15.36,266.3,(6) Sat,0.25,4.36,(07) July,69,0,71.66,2018-07-26 03:00:00,TP02
69,Codeine,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,70,10000,9999.99,2018-07-27 03:00:00,TP02
70,Fentanyl,0.07,2.08,(1) Mon,0.0,0.03,(07) July,71,0,0.55,2018-07-28 03:00:00,TP02
71,Fentanyl,0.14,1.18,(2) Tue,0.0,0.02,(07) July,72,0,0.31,2018-07-29 03:00:00,TP02
72,Fentanyl,0.22,1.94,(3) Wed,0.0,0.03,(07) July,73,0,0.53,2018-07-30 03:00:00,TP02
73,Fentanyl,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,74,10000,9999.99,2018-07-23 03:00:00,TP02
74,Fentanyl,0.21,2.9,(5) Fri,0.0,0.05,(07) July,75,0,0.75,2018-07-24 03:00:00,TP02
75,Fentanyl,0.05,1.67,(6) Sat,0.0,0.03,(07) July,76,0,0.45,2018-07-25 03:00:00,TP02
76,Fentanyl,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,77,10000,9999.99,2018-07-26 03:00:00,TP02
77,Norfentanyl,1.12,12.18,(1) Mon,0.02,0.2,(07) July,78,0,3.22,2018-07-27 03:00:00,TP02
78,Norfentanyl,1.66,13.61,(2) Tue,0.03,0.22,(07) July,79,0,3.58,2018-07-28 03:00:00,TP02
79,Norfentanyl,2.37,13.19,(3) Wed,0.04,0.22,(07) July,80,0,3.57,2018-07-29 03:00:00,TP02
80,Norfentanyl,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,81,10000,9999.99,2018-07-30 03:00:00,TP02
81,Norfentanyl,0.36,9.79,(5) Fri,0.01,0.15,(07) July,82,0,2.54,2018-07-23 03:00:00,TP02
82,Norfentanyl,0.84,16.8,(6) Sat,0.01,0.28,(07) July,83,0,4.52,2018-07-24 03:00:00,TP02
83,Norfentanyl,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,84,10000,9999.99,2018-07-25 03:00:00,TP02
84,Heroin,2.9,32.42,(1) Mon,0.05,0.52,(07) July,85,0,8.57,2018-07-26 03:00:00,TP02
85,Heroin,1.17,33.99,(2) Tue,0.02,0.54,(07) July,86,0,8.94,2018-07-27 03:00:00,TP02
86,Heroin,1.78,44.15,(3) Wed,0.03,0.73,(07) July,87,0,11.95,2018-07-28 03:00:00,TP02
87,Heroin,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,88,10000,9999.99,2018-07-29 03:00:00,TP02
88,Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(07) July,89,-10000,-9999.99,2018-07-30 03:00:00,TP02
89,Heroin,2.85,25.7,(6) Sat,0.05,0.42,(07) July,90,0,6.92,2018-07-23 03:00:00,TP02
90,Heroin,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,91,10000,9999.99,2018-07-24 03:00:00,TP02
91,6-Acetylmorphine,0.06,78.48,(1) Mon,0.0,1.26,(07) July,92,0,20.75,2018-07-25 03:00:00,TP02
92,6-Acetylmorphine,1.84,72.55,(2) Tue,0.03,1.16,(07) July,93,0,19.09,2018-07-26 03:00:00,TP02
93,6-Acetylmorphine,0.9,84.08,(3) Wed,0.01,1.39,(07) July,94,0,22.76,2018-07-27 03:00:00,TP02
94,6-Acetylmorphine,9999.99,9999.99,(4) Thu,9999.99,9999.99,(07) July,95,10000,9999.99,2018-07-28 03:00:00,TP02
95,6-Acetylmorphine,6.06,92.67,(5) Fri,0.1,1.46,(07) July,96,0,24.05,2018-07-29 03:00:00,TP02
96,6-Acetylmorphine,0.36,43.51,(6) Sat,0.01,0.71,(07) July,97,0,11.71,2018-07-30 03:00:00,TP02
97,6-Acetylmorphine,9999.99,9999.99,(7) Sun,9999.99,9999.99,(07) July,98,10000,9999.99,2018-07-23 03:00:00,TP02
98,Oxycodone,2.06,93.76,(1) Mon,0.04,1.74,(08) August,99,0,28.51,2018-08-20 03:00:00,TP02
99,Oxycodone,6.37,91.09,(2) Tue,0.12,1.67,(08) August,100,0,27.39,2018-08-21 03:00:00,TP02
100,Oxycodone,8.04,80.43,(3) Wed,0.15,1.5,(08) August,101,0,24.61,2018-08-22 03:00:00,TP02
101,Oxycodone,5.51,86.86,(4) Thu,0.11,1.66,(08) August,102,0,27.33,2018-08-23 03:00:00,TP02
102,Oxycodone,3.32,90.01,(5) Fri,0.06,1.63,(08) August,103,0,26.73,2018-08-24 03:00:00,TP02
103,Oxycodone,5.76,98.22,(6) Sat,0.1,1.76,(08) August,104,0,28.93,2018-08-25 03:00:00,TP02
104,Oxycodone,5.86,93.61,(7) Sun,0.11,1.7,(08) August,105,0,27.96,2018-08-27 03:00:00,TP02
105,Noroxycodone,5.09,111.76,(1) Mon,0.09,2.07,(08) August,106,0,33.98,2018-08-20 03:00:00,TP02
106,Noroxycodone,3.97,116.74,(2) Tue,0.07,2.14,(08) August,107,0,35.1,2018-08-21 03:00:00,TP02
107,Noroxycodone,5.24,116.05,(3) Wed,0.1,2.16,(08) August,108,0,35.51,2018-08-22 03:00:00,TP02
108,Noroxycodone,3.62,107.66,(4) Thu,0.07,2.06,(08) August,109,0,33.88,2018-08-23 03:00:00,TP02
109,Noroxycodone,2.84,108.85,(5) Fri,0.05,1.97,(08) August,110,0,32.32,2018-08-24 03:00:00,TP02
110,Noroxycodone,1.54,129.52,(6) Sat,0.03,2.32,(08) August,111,0,38.14,2018-08-25 03:00:00,TP02
111,Noroxycodone,2.27,124.21,(7) Sun,0.04,2.26,(08) August,112,0,37.09,2018-08-27 03:00:00,TP02
112,Codeine,0.15,73.77,(1) Mon,0.0,1.37,(08) August,113,0,22.43,2018-08-20 03:00:00,TP02
113,Codeine,1.31,57.69,(2) Tue,0.02,1.06,(08) August,114,0,17.35,2018-08-21 03:00:00,TP02
114,Codeine,6.73,59.94,(3) Wed,0.13,1.12,(08) August,115,0,18.34,2018-08-22 03:00:00,TP02
115,Codeine,3.35,63.52,(4) Thu,0.06,1.22,(08) August,116,0,19.99,2018-08-23 03:00:00,TP02
116,Codeine,6.33,48.89,(5) Fri,0.11,0.88,(08) August,117,0,14.52,2018-08-24 03:00:00,TP02
117,Codeine,0.78,61.72,(6) Sat,0.01,1.11,(08) August,118,0,18.18,2018-08-25 03:00:00,TP02
118,Codeine,4.39,60.25,(7) Sun,0.08,1.1,(08) August,119,0,17.99,2018-08-27 03:00:00,TP02
119,Fentanyl,0.04,4.85,(1) Mon,0.0,0.09,(08) August,120,0,1.48,2018-08-20 03:00:00,TP02
120,Fentanyl,0.4,5.12,(2) Tue,0.01,0.09,(08) August,121,0,1.54,2018-08-21 03:00:00,TP02
121,Fentanyl,0.34,4.79,(3) Wed,0.01,0.09,(08) August,122,0,1.46,2018-08-22 03:00:00,TP02
122,Fentanyl,0.18,4.57,(4) Thu,0.0,0.09,(08) August,123,0,1.44,2018-08-23 03:00:00,TP02
123,Fentanyl,0.0,4.44,(5) Fri,0.0,0.08,(08) August,124,0,1.32,2018-08-24 03:00:00,TP02
124,Fentanyl,0.05,5.75,(6) Sat,0.0,0.1,(08) August,125,0,1.69,2018-08-25 03:00:00,TP02
125,Fentanyl,0.33,5.96,(7) Sun,0.01,0.11,(08) August,126,0,1.78,2018-08-27 03:00:00,TP02
126,Norfentanyl,1.72,16.18,(1) Mon,0.03,0.3,(08) August,127,0,4.92,2018-08-20 03:00:00,TP02
127,Norfentanyl,6.24,19.44,(2) Tue,0.11,0.36,(08) August,128,0,5.84,2018-08-21 03:00:00,TP02
128,Norfentanyl,0.51,15.14,(3) Wed,0.01,0.28,(08) August,129,0,4.63,2018-08-22 03:00:00,TP02
129,Norfentanyl,0.69,16.46,(4) Thu,0.01,0.32,(08) August,130,0,5.18,2018-08-23 03:00:00,TP02
130,Norfentanyl,1.17,15.04,(5) Fri,0.02,0.27,(08) August,131,0,4.47,2018-08-24 03:00:00,TP02
131,Norfentanyl,5.52,19.55,(6) Sat,0.1,0.35,(08) August,132,0,5.76,2018-08-25 03:00:00,TP02
132,Norfentanyl,3.63,15.84,(7) Sun,0.07,0.29,(08) August,133,0,4.73,2018-08-27 03:00:00,TP02
133,Heroin,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(08) August,134,-10000,-9999.99,2018-08-20 03:00:00,TP02
134,Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(08) August,135,-10000,-9999.99,2018-08-21 03:00:00,TP02
135,Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(08) August,136,-10000,-9999.99,2018-08-22 03:00:00,TP02
136,Heroin,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(08) August,137,-10000,-9999.99,2018-08-23 03:00:00,TP02
137,Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(08) August,138,-10000,-9999.99,2018-08-24 03:00:00,TP02
138,Heroin,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(08) August,139,-10000,-9999.99,2018-08-25 03:00:00,TP02
139,Heroin,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(08) August,140,-10000,-9999.99,2018-08-27 03:00:00,TP02
140,6-Acetylmorphine,1.7,42.8,(1) Mon,0.03,0.79,(08) August,141,0,13.01,2018-08-20 03:00:00,TP02
141,6-Acetylmorphine,1.42,56.62,(2) Tue,0.03,1.04,(08) August,142,0,17.02,2018-08-21 03:00:00,TP02
142,6-Acetylmorphine,8.9,56.35,(3) Wed,0.17,1.05,(08) August,143,0,17.24,2018-08-22 03:00:00,TP02
143,6-Acetylmorphine,2.81,39.39,(4) Thu,0.05,0.75,(08) August,144,0,12.4,2018-08-23 03:00:00,TP02
144,6-Acetylmorphine,0.77,30.0,(5) Fri,0.01,0.54,(08) August,145,0,8.91,2018-08-24 03:00:00,TP02
145,6-Acetylmorphine,6.49,70.28,(6) Sat,0.12,1.26,(08) August,146,0,20.7,2018-08-25 03:00:00,TP02
146,6-Acetylmorphine,10.92,65.93,(7) Sun,0.2,1.2,(08) August,147,0,19.69,2018-08-27 03:00:00,TP02
147,Oxycodone,1.53,70.02,(1) Mon,0.03,1.27,(09) September,148,0,20.91,2018-09-10 03:00:00,TP02
148,Oxycodone,1.41,64.27,(2) Tue,0.03,1.18,(09) September,149,0,19.44,2018-09-11 03:00:00,TP02
149,Oxycodone,18.74,103.54,(3) Wed,0.34,1.89,(09) September,150,0,30.97,2018-09-12 03:00:00,TP02
150,Oxycodone,32.26,67.96,(4) Thu,0.6,1.27,(09) September,151,0,20.9,2018-09-13 03:00:00,TP02
151,Oxycodone,8.89,86.5,(5) Fri,0.15,1.49,(09) September,152,0,24.4,2018-09-14 03:00:00,TP02
152,Oxycodone,2.74,99.94,(6) Sat,0.05,1.66,(09) September,153,0,27.25,2018-09-15 03:00:00,TP02
153,Oxycodone,0.62,84.59,(7) Sun,0.01,1.49,(09) September,154,0,24.5,2018-09-16 03:00:00,TP02
154,Noroxycodone,0.32,86.13,(1) Mon,0.01,1.57,(09) September,155,0,25.72,2018-09-10 03:00:00,TP02
155,Noroxycodone,2.94,75.36,(2) Tue,0.05,1.39,(09) September,156,0,22.79,2018-09-11 03:00:00,TP02
156,Noroxycodone,51.03,280.29,(3) Wed,0.93,5.11,(09) September,157,0,83.85,2018-09-12 03:00:00,TP02
157,Noroxycodone,25.06,66.3,(4) Thu,0.47,1.24,(09) September,158,0,20.39,2018-09-13 03:00:00,TP02
158,Noroxycodone,4.28,87.82,(5) Fri,0.07,1.51,(09) September,159,0,24.77,2018-09-14 03:00:00,TP02
159,Noroxycodone,0.04,91.18,(6) Sat,0.0,1.51,(09) September,160,0,24.86,2018-09-15 03:00:00,TP02
160,Noroxycodone,5.6,117.78,(7) Sun,0.1,2.08,(09) September,161,2,34.12,2018-09-16 03:00:00,TP02
161,Codeine,2.47,88.32,(1) Mon,0.04,1.61,(09) September,162,0,26.38,2018-09-10 03:00:00,TP02
162,Codeine,0.75,87.0,(2) Tue,0.01,1.6,(09) September,163,0,26.31,2018-09-11 03:00:00,TP02
163,Codeine,13.38,135.56,(3) Wed,0.24,2.47,(09) September,164,0,40.55,2018-09-12 03:00:00,TP02
164,Codeine,40.53,73.29,(4) Thu,0.76,1.37,(09) September,165,0,22.54,2018-09-13 03:00:00,TP02
165,Codeine,3.58,112.54,(5) Fri,0.06,1.93,(09) September,166,0,31.74,2018-09-14 03:00:00,TP02
166,Codeine,9.84,173.18,(6) Sat,0.16,2.88,(09) September,167,0,47.22,2018-09-15 03:00:00,TP02
167,Codeine,7.64,104.47,(7) Sun,0.13,1.84,(09) September,168,2,30.26,2018-09-16 03:00:00,TP02
168,Fentanyl,0.02,4.09,(1) Mon,0.0,0.07,(09) September,169,0,1.22,2018-09-10 03:00:00,TP02
169,Fentanyl,0.1,3.89,(2) Tue,0.0,0.07,(09) September,170,0,1.18,2018-09-11 03:00:00,TP02
170,Fentanyl,0.61,3.47,(3) Wed,0.01,0.06,(09) September,171,0,1.04,2018-09-12 03:00:00,TP02
171,Fentanyl,1.37,3.72,(4) Thu,0.03,0.07,(09) September,172,0,1.14,2018-09-13 03:00:00,TP02
172,Fentanyl,0.3,4.29,(5) Fri,0.01,0.07,(09) September,173,0,1.21,2018-09-14 03:00:00,TP02
173,Fentanyl,0.07,3.72,(6) Sat,0.0,0.06,(09) September,174,0,1.02,2018-09-15 03:00:00,TP02
174,Fentanyl,0.03,3.81,(7) Sun,0.0,0.07,(09) September,175,0,1.1,2018-09-16 03:00:00,TP02
175,Norfentanyl,0.07,3.77,(1) Mon,0.0,0.07,(09) September,176,0,1.13,2018-09-10 03:00:00,TP02
176,Norfentanyl,0.09,3.05,(2) Tue,0.0,0.06,(09) September,177,0,0.92,2018-09-11 03:00:00,TP02
177,Norfentanyl,0.07,15.21,(3) Wed,0.0,0.28,(09) September,178,0,4.55,2018-09-12 03:00:00,TP02
178,Norfentanyl,3.92,14.79,(4) Thu,0.07,0.28,(09) September,179,0,4.55,2018-09-13 03:00:00,TP02
179,Norfentanyl,2.49,14.47,(5) Fri,0.04,0.25,(09) September,180,0,4.08,2018-09-14 03:00:00,TP02
180,Norfentanyl,0.9,9.39,(6) Sat,0.02,0.16,(09) September,181,0,2.56,2018-09-15 03:00:00,TP02
